date,vendor,battlefield_value,cvss_sum,epss_sum,cvss_avg,epss_avg,n_cves,bf_value_x1000
2025-01-09,google,0.094428,219.6,0.01247,7.572413793103448,0.00043,29,94.428
2025-01-09,code-projects,0.0864,192.0,0.01125,7.68,0.00045,25,86.4
2025-01-09,huawei,0.085102,197.7,0.01205,7.060714285714285,0.00043035714285714286,28,85.102
2025-01-09,linux,0.078487,181.1,0.01302,6.036666666666666,0.00043400000000000003,30,78.487
2025-01-09,ivanti,0.07807,16.0,0.00877,8.0,0.004385,2,78.07000000000001
2025-01-09,ibm,0.071231,135.7,0.01225,5.654166666666666,0.0005104166666666667,24,71.23100000000001
2025-01-09,qualcomm,0.063104,140.9,0.00849,7.415789473684211,0.00044684210526315787,19,63.10399999999999
2025-01-09,iptanus,0.033039,31.400000000000002,0.00388,7.8500000000000005,0.00097,4,33.039
2025-01-09,mozilla,0.028761,62.9,0.00505,5.718181818181818,0.00045909090909090905,11,28.761
2025-01-09,optimizely,0.02322,54.0,0.00344,6.75,0.00043,8,23.220000000000002
