date,vendor,battlefield_value,cvss_sum,epss_sum,cvss_avg,epss_avg,n_cves,bf_value_x1000
2025-05-28,totolink,16.887144,529.9,2.57129,7.792647058823529,0.03781308823529411,68,16887.144
2025-05-28,netalertx,9.874445999999999,28.6,1.0789499999999999,9.533333333333333,0.35964999999999997,3,9874.445999999998
2025-05-28,ivanti,8.260997,33.900000000000006,1.04909,8.475000000000001,0.2622725,4,8260.997
2025-05-28,invisioncommunity,7.5593,10.0,0.75593,10.0,0.75593,1,7559.3
2025-05-28,samsung,6.049314,194.7,0.6194299999999999,6.489999999999999,0.020647666666666665,30,6049.314
2025-05-28,srimax,5.501803000000001,14.9,0.6253000000000001,7.45,0.31265000000000004,2,5501.803000000001
2025-05-28,tenda,3.1768089999999995,281.0,0.47863,8.028571428571428,0.013675142857142858,35,3176.8089999999997
2025-05-28,microsoft,3.03572,600.7,0.39884,7.508750000000001,0.0049854999999999995,80,3035.72
2025-05-28,sysaid,2.7707110000000004,28.900000000000002,0.28607,9.633333333333335,0.09535666666666666,3,2770.7110000000002
2025-05-28,sap,1.338337,9.1,0.14707,9.1,0.14707,1,1338.3370000000002
